序号,项目编码,项目名称,项目状态,开始时间,发布时间,所属账号,主要平台,内容分区,产品品类,视频类型,商业性质,折旧基数,合作品牌,渠道,对接,存储位置,报价,返点,热门,数据较好,甲方投流,复盘,备注
1,P001,L60 长测真实体验,有灵感,2026/1/3,2026/1/10,非常有电,B站,汽车,汽车,长视频,自费,100%,,直客,,NAS/2026/L60长测,,,否,是,否,抖音数据比B站好,早期选题样例，状态为有灵感
2,P002,新家一年后装修复盘,需要做,2026/1/18,2026/1/24,钱与非,小红书,家居,家具,图文,自费,90%,,差评,,NAS/2026/装修复盘,,,否,否,否,无信息可以留空,无信息可以留空
3,P003,母婴用品红黑榜,进行中,2026/2/6,2026/2/12,钱与非,抖音,母婴,母婴,短视频,植入,80%,小鹿优选,君信,李经理,NAS/2026/母婴红黑榜,12000,10%,是,是,是,复盘测试信息,内容分区“母婴”可用于测试自动新建选项
4,P004,人体工学椅真实办公体验,待收尾,2026/2/22,2026/3/1,钱与非,B站,数码,椅子,长视频,定制,70%,坐得住科技,直客,王总,NAS/2026/人体工学椅,18000,8%,否,是,否,复盘测试信息,用于测试待收尾状态
5,P005,春季桌面效率工具合集,已完成,2026/3/11,2026/3/18,钱与非,小红书,效率工具,桌搭,图文,置换合集,60%,品牌1/品牌2/品牌3,蒲公英,陈运营,NAS/2026/桌面效率合集,8500,12%,是,是,否,复盘测试信息,已完成项目样例
6,P006,Takii 首次亮相介绍,有灵感,2026/3/30,2026/4/6,非常创造,公众号,软件,AI,图文,自费,50%,,蓝标,,NAS/2026/Takii首发,,,否,否,否,复盘测试信息,软件项目样例
7,P007,智能猫砂盆横评,需要做,2026/4/17,2026/4/24,钱与非,B站,宠物,宠物用品,长视频,置换,40%,喵星科技,直客,赵经理,NAS/2026/猫砂盆横评,6000,5%,否,否,否,复盘测试信息,用于测试宠物分区
8,P008,外滩夜景车拍短片,进行中,2026/5/5,2026/5/12,非常有电,抖音,汽车,汽车,短视频,定制,30%,乐道体验中心,本地合作,周老师,NAS/2026/外滩车拍,15000,10%,是,是,是,复盘测试信息,用于测试甲方投流
9,P009,夏季露营装备清单,待收尾,2026/5/24,2026/6/1,钱与非,小红书,户外,露营,图文,植入,20%,山野计划,蒲公英,孙运营,NAS/2026/露营装备,9800,15%,否,是,否,复盘测试信息,用于测试返点比例
10,P010,618 影像设备采购指南,已完成,2026/6/14,2026/6/22,钱与非,B站,影像,相机,长视频,植入,10%,影像派,星图,刘商务,NAS/2026/618影像设备,22000,10%,是,是,否,复盘测试信息,近六月末项目样例
